Width	Height	Iteraciones	LocalWorkSize	Segundos	TotalCeldas	CeldasPorSegundo
500	500	10	32	0.111394	2500000	2.24429e+07
500	500	10	64	0.110568	2500000	2.26106e+07
500	500	10	96	0.123698	2500000	2.02105e+07
500	500	10	128	0.120587	2500000	2.07319e+07
500	500	10	160	0.139562	2500000	1.79132e+07
1000	1000	10	32	0.14169	10000000	7.05768e+07
1000	1000	10	64	0.136381	10000000	7.33238e+07
1000	1000	10	96	0.150631	10000000	6.63876e+07
1000	1000	10	128	0.151318	10000000	6.60859e+07
1000	1000	10	160	0.155909	10000000	6.414e+07
1500	1500	10	32	0.215369	22500000	1.04472e+08
1500	1500	10	64	0.22531	22500000	9.98626e+07
1500	1500	10	96	0.218473	22500000	1.02987e+08
1500	1500	10	128	0.216876	22500000	1.03746e+08
1500	1500	10	160	0.222475	22500000	1.01135e+08
2000	2000	10	32	0.289363	40000000	1.38235e+08
2000	2000	10	64	0.296596	40000000	1.34863e+08
2000	2000	10	96	0.275618	40000000	1.45129e+08
2000	2000	10	128	0.297081	40000000	1.34643e+08
2000	2000	10	160	0.268325	40000000	1.49073e+08
