Width	Height	Iteraciones	LocalWorkSize	Segundos	TotalCeldas	CeldasPorSegundo
500	500	10	30	0.115943	2500000	2.15624e+07
500	500	10	150	0.112458	2500000	2.22306e+07
500	500	10	200	0.117415	2500000	2.1292e+07
500	500	10	150	0.12597	2500000	1.9846e+07
500	500	10	300	0.128446	2500000	1.94635e+07
1000	1000	10	30	0.160336	10000000	6.23691e+07
1000	1000	10	150	0.137598	10000000	7.26755e+07
1000	1000	10	200	0.146491	10000000	6.82637e+07
1000	1000	10	150	0.149628	10000000	6.68325e+07
1000	1000	10	300	0.154846	10000000	6.45803e+07
1500	1500	10	30	0.199713	22500000	1.12662e+08
1500	1500	10	150	0.202118	22500000	1.11321e+08
1500	1500	10	200	0.191539	22500000	1.1747e+08
1500	1500	10	150	0.186171	22500000	1.20857e+08
1500	1500	10	300	0.19506	22500000	1.15349e+08
2000	2000	10	30	0.266569	40000000	1.50055e+08
2000	2000	10	150	0.263608	40000000	1.5174e+08
2000	2000	10	200	0.266434	40000000	1.50131e+08
2000	2000	10	150	0.266447	40000000	1.50124e+08
2000	2000	10	300	0.289918	40000000	1.3797e+08
