Width	Height	Iteraciones	TPB	Segundos	TotalCeldas	CeldasPorSegundo
500	500	10	32	0.0026087	2500000	9.58332e+08
500	500	10	64	0.0010907	2500000	2.29211e+09
500	500	10	96	0.0062762	2500000	3.9833e+08
500	500	10	128	0.0010993	2500000	2.27417e+09
500	500	10	160	0.0011255	2500000	2.22124e+09
1000	1000	10	32	0.0024325	10000000	4.111e+09
1000	1000	10	64	0.0021671	10000000	4.61446e+09
1000	1000	10	96	0.002015	10000000	4.96278e+09
1000	1000	10	128	0.0021442	10000000	4.66374e+09
1000	1000	10	160	0.0029222	10000000	3.42208e+09
1500	1500	10	32	0.0096255	22500000	2.33754e+09
1500	1500	10	64	0.00274	22500000	8.21168e+09
1500	1500	10	96	0.0049144	22500000	4.57838e+09
1500	1500	10	128	0.0026879	22500000	8.37085e+09
1500	1500	10	160	0.0028754	22500000	7.825e+09
2000	2000	10	32	0.0073998	40000000	5.40555e+09
2000	2000	10	64	0.0081818	40000000	4.8889e+09
2000	2000	10	96	0.0047914	40000000	8.34829e+09
2000	2000	10	128	0.0047122	40000000	8.4886e+09
2000	2000	10	160	0.0105248	40000000	3.80055e+09
