Width	Height	Iteraciones	TPB	Segundos	TotalCeldas	CeldasPorSegundo
500	500	10	100	0.0018121	2500000	1.37961e+09
500	500	10	150	0.0012275	2500000	2.03666e+09
500	500	10	200	0.0010878	2500000	2.29822e+09
500	500	10	250	0.0017157	2500000	1.45713e+09
500	500	10	300	0.0028242	2500000	8.85206e+08
1000	1000	10	100	0.0020106	10000000	4.97364e+09
1000	1000	10	150	0.0022517	10000000	4.44109e+09
1000	1000	10	200	0.0035566	10000000	2.81167e+09
1000	1000	10	250	0.0061674	10000000	1.62143e+09
1000	1000	10	300	0.0018371	10000000	5.44336e+09
1500	1500	10	100	0.0066402	22500000	3.38845e+09
1500	1500	10	150	0.0028271	22500000	7.95869e+09
1500	1500	10	200	0.003071	22500000	7.3266e+09
1500	1500	10	250	0.0037926	22500000	5.93261e+09
1500	1500	10	300	0.0062818	22500000	3.58178e+09
2000	2000	10	100	0.0096669	40000000	4.13783e+09
2000	2000	10	150	0.0060349	40000000	6.62811e+09
2000	2000	10	200	0.0066889	40000000	5.98006e+09
2000	2000	10	250	0.0136735	40000000	2.92537e+09
2000	2000	10	300	0.0083561	40000000	4.78692e+09
